party_id,full_name,street_address,city,state,zip5,phone_e164,party_latitude,party_longitude,incident_date,report_filing_date,line_type_reported,rnd_response,on_national_dnc,dnc_scrub_age_days,consent_on_file,consent_revoked,fixture_note
P001,Dara Ellingsworth,118 Quillfeather Ln,Rockville,MD,20850,+13015550101,39.084,-77.1528,2026-08-20,2026-08-21,wireless,NO,false,3,true,false,
P002,Marcus Vandeleur,4402 Tinder Row,Silver Spring,MD,20901,+13015550102,39.0023,-77.0208,2026-07-23,2026-07-25,landline,NO,false,5,false,false,
P003,Junia Okpara,77 Bellwether Ct,Bethesda,MD,20814,+12405550103,38.9847,-77.0947,2026-07-02,2026-07-03,wireless,NO,false,2,true,true,
P004,Theo Marchetti,9 Ashgrove Terr,Gaithersburg,MD,20877,+13015550104,39.1434,-77.2014,2026-08-24,2026-08-25,wireless,NO,true,4,true,false,
P005,Wren Calloway,2210 Foxbridge Way,Wheaton,MD,20902,+12405550105,39.0398,-77.0553,2026-08-07,2026-08-08,voip,NO,false,6,true,false,
P006,Ilse Brantwood,615 Marlowe Cross,Olney,MD,20832,+13015550106,39.1532,-77.0669,2026-07-30,2026-08-01,unknown,NO,false,1,true,false,
P007,Ramona Quesnel,3140 Sandhurst Dr,El Paso,TX,79912,+19155550107,31.8479,-106.5348,2026-07-19,2026-07-21,wireless,NO,false,3,true,false,
P008,Odell Fairbrother,88 Cordgrass Ave,Pensacola,FL,32502,+18505550108,30.4213,-87.2169,2026-05-29,2026-06-01,wireless,NO,false,3,true,false,
P009,Sabine Trelawny,506 Heronwood Pl,Orlando,FL,32801,+14075550109,28.5421,-81.379,2026-08-11,2026-08-12,wireless,NO,false,2,true,false,
P010,Casper Nunnelly,1712 Palmetto Reach,Tampa,FL,33602,+18135550110,27.9518,-82.4573,2026-06-05,2026-06-07,landline,NO,false,4,true,false,
P011,Verity Ashcombe,233 Longspur Trace,Austin,TX,78701,+15125550111,30.2688,-97.7431,2026-08-17,2026-08-18,wireless,NO,false,2,true,false,
P012,Bram Steadwell,4019 Kestrel Bend,Houston,TX,77002,+17135550112,29.7601,-95.3698,2026-07-16,2026-07-18,wireless,NO,false,3,true,false,
P013,Noor Halvorsen,820 Winnowing St,Rockville,MD,20852,+13015550113,39.0512,-77.1201,2026-08-03,2026-08-04,wireless,NO_DATA,false,2,true,false,
P014,Piers Oduya,17 Cattersley Mews,Silver Spring,MD,20910,+12405550114,38.9944,-77.0289,2026-07-27,2026-07-28,wireless,YES,false,2,true,false,
P015,Elke Vantrease,3300 Rushmere Ln,Bethesda,MD,20817,+13015550115,38.9912,-77.1414,2026-07-11,2026-07-13,landline,NO,true,3,true,false,
P016,Ozias Kettleburn,141 Draypool Rd,Germantown,MD,20874,+12405550116,39.1732,-77.2717,2026-08-13,2026-08-14,wireless,NO,false,45,true,false,
P017,Linnea Fitzwarren,2604 Sablewood Ct,Rockville,MD,20853,+13015550117,39.0918,-77.0898,2026-07-22,2026-07-24,wireless,NO,false,2,false,false,
